"price_name","price_area","price_status","price_age","price_condition","price_bhk","price_bhk_url","price_location","price_location_url","price_builder","price_builder_url"
"37.49 L","872","Ready to move","0 - 1 year old","New","2","https://www.makaan.com/chennai/mp-developers-hirwa-in-sembakkam-16336483/2bhk-872-sqft-apartment","Sembakkam","https://www.makaan.com/chennai-property/sembakkam-flats-for-sale-54826","MP Developers","https://www.makaan.com/mp-developers-profile-1894231"
"93.54 L","1346","Under Construction","2 Bathrooms","New","3","https://www.makaan.com/chennai/dac-promoters-intellia-in-selaiyur-16339725/3bhk-2t-1346-sqft-apartment","Selaiyur","https://www.makaan.com/chennai-property/selaiyur-flats-for-sale-52047","DAC Promoters","https://www.makaan.com/dac-promoters-profile-2004229"
"1.51 Cr","2225","Under Construction","Possession by Oct 2022","New","3","https://www.makaan.com/chennai/casa-grande-realtors-llp-millenia-in-mogappair-16350579/3bhk-2225-sqft-apartment","Mogappair","https://www.makaan.com/chennai-property/mogappair-flats-for-sale-50314","Casagrand Builder Private Limited","https://www.makaan.com/casagrand-builder-private-limited-profile-1917913"
"49 L","1028","Ready to move","2 - 3 years old","2 Bathrooms","2","https://www.makaan.com/chennai/dugar-housing-builders-lake-dugar-in-ambattur-16329800/2bhk-2t-1028-sqft-apartment","Ambattur","https://www.makaan.com/chennai-property/ambattur-flats-for-sale-51076","Dugar Housing Builders","https://www.makaan.com/dugar-housing-builders-profile-100285659"
"42.28 L","588","Under Construction","Possession by Nov 2021","1 Bathrooms","2","https://www.makaan.com/chennai/radiance-realty-developers-the-pride-in-pallavaram-16326692/2bhk-1t-588-sqft-apartment","Pallavaram","https://www.makaan.com/chennai-property/pallavaram-flats-for-sale-50349","Radiance Realty Developers India Ltd","https://www.makaan.com/radiance-realty-developers-india-ltd-profile-1931016"
"1.88 Cr","2221","Under Construction","Possession by May 2022","3 Bathrooms","3","https://www.makaan.com/chennai/traventure-homes-triad-in-virugambakkam-16303598/3bhk-3t-2221-sqft-apartment","Virugambakkam","https://www.makaan.com/chennai-property/virugambakkam-flats-for-sale-51300","Traventure Homes Pvt Ltd","https://www.makaan.com/traventure-homes-pvt-ltd-profile-100103446"
"38 L","885","Under Construction","Possession by Mar 2024","New","3","https://www.makaan.com/chennai/urbanrise-projects-code-name-new-porur-in-thirumazhisai-16326119/3bhk-885-sqft-apartment","Thirumazhisai","https://www.makaan.com/chennai-property/thirumazhisai-flats-for-sale-51626","Urbanrise","https://www.makaan.com/urbanrise-profile-2114671"
"72.99 L","936","Ready to move","5 - 6 years old","New","3","https://www.makaan.com/chennai/navins-housing-whiteberry-in-moolakadai-16272625/3bhk-936-sqft-apartment","Moolakadai","https://www.makaan.com/chennai-property/moolakadai-flats-for-sale-52066","Navin Housing Properties P LTD","https://www.makaan.com/navin-housing-properties-p-ltd-profile-2091480"
"1.25 Cr","2275","Ready to move","0 - 1 year old","New","4","https://www.makaan.com/chennai/jones-foundations-cassia-phase-3-in-ottiyambakkam-16321209/4bhk-2275-sqft-villa","Ottiyambakkam","https://www.makaan.com/chennai-property/ottiyambakkam-flats-for-sale-75983","Jones foundation private limited","https://www.makaan.com/jones-foundation-private-limited-profile-1423363"
"24.56 L","622","Under Construction","Possession by Mar 2022","New","2","https://www.makaan.com/chennai/isha-homes-anandham-in-perungalathur-16292543/2bhk-622-sqft-apartment","Perungalathur","https://www.makaan.com/chennai-property/perungalathur-flats-for-sale-51578","Isha Homes","https://www.makaan.com/isha-homes-profile-1866557"
"67.87 L","1305","Under Construction","Possession by Mar 2022","New","3","https://www.makaan.com/chennai/kochar-homes-neetu-arjun-garden-in-gerugambakkam-16293772/3bhk-1305-sqft-apartment","Gerugambakkam","https://www.makaan.com/chennai-property/gerugambakkam-flats-for-sale-55747","Kochar Homes Pvt Ltd","https://www.makaan.com/kochar-homes-pvt-ltd-profile-100376145"
"2.4 Cr","1500","Ready to move","0 - 1 year old","3 Bathrooms","3","https://www.makaan.com/chennai/pushkar-properties-royale-nalantha-in-anna-nagar-16196088/3bhk-3t-1500-sqft-apartment","Anna Nagar","https://www.makaan.com/chennai-property/anna-nagar-flats-for-sale-50379","Pushkar Properties Pvt Ltd","https://www.makaan.com/pushkar-properties-pvt-ltd-profile-2012602"
"4.07 Cr","2200","Under Construction","Possession by Oct 2021","New","3","https://www.makaan.com/chennai/pushkar-properties-narayana-nilaya-in-gopalapuram-16185236/3bhk-2200-sqft-apartment","Gopalapuram","https://www.makaan.com/chennai-property/gopalapuram-flats-for-sale-51458","Pushkar Properties Pvt Ltd","https://www.makaan.com/pushkar-properties-pvt-ltd-profile-2122711"
"51.46 L","919","Under Construction","Possession by Mar 2022","New","2","https://www.makaan.com/chennai/asset-tree-homes-ath-cosmo-in-pammal-16233461/2bhk-919-sqft-apartment","Pammal","https://www.makaan.com/chennai-property/pammal-flats-for-sale-51831","Asset Tree Homes","https://www.makaan.com/asset-tree-homes-profile-1731056"
"69.47 L","965","Under Construction","Possession by Nov 2023","New","2","https://www.makaan.com/chennai/urban-tree-infrastructures-amaze-in-porur-16262031/2bhk-965-sqft-apartment","Porur","https://www.makaan.com/chennai-property/porur-flats-for-sale-50346","Urban Tree Infrastructures","https://www.makaan.com/urban-tree-infrastructures-profile-1931007"
"1.13 Cr","2343","Ready to move","4 - 5 years old","4 Bathrooms","4","https://www.makaan.com/chennai/olympia-group-opaline-sequel-in-navallur-16142372/4bhk-4t-2343-sqft-apartment","Navallur","https://www.makaan.com/chennai-property/navallur-flats-for-sale-50352","Olympia Group","https://www.makaan.com/olympia-group-profile-100084988"
"18 L","353","Under Construction","Possession by Nov 2023","New","1","https://www.makaan.com/chennai/vijay-raja-homes-vrx-360-in-thirumazhisai-16125585/1bhk-353-sqft-apartment","Thirumazhisai","https://www.makaan.com/chennai-property/thirumazhisai-flats-for-sale-51626","Vijay Raja Homes Private Limited","https://www.makaan.com/vijay-raja-homes-private-limited-profile-100145026"
"2.24 Cr","1450","Under Construction","Possession by Dec 2021","New","3","https://www.makaan.com/chennai/kamalam-builders-vilasam-in-anna-nagar-16216049/3bhk-1450-sqft-apartment","Anna Nagar","https://www.makaan.com/chennai-property/anna-nagar-flats-for-sale-50379","Kamalam Builder Pvt Ltd","https://www.makaan.com/kamalam-builder-pvt-ltd-profile-100101692"
"1 Cr","1833","Ready to move","1 year old","New","3","https://www.makaan.com/chennai/appaswamy-real-estates-splendour-in-sholinganallur-16264062/3bhk-1833-sqft-apartment","Sholinganallur","https://www.makaan.com/chennai-property/sholinganallur-flats-for-sale-50307","Appaswamy Real Estate","https://www.makaan.com/appaswamy-real-estate-profile-1917897"
"45.99 L","920","Under Construction","Possession by Dec 2022","New","2","https://www.makaan.com/chennai/vnr-homes-belmont-in-vanagaram-16087702/2bhk-920-sqft-apartment","Vanagaram","https://www.makaan.com/chennai-property/vanagaram-flats-for-sale-52061","VNR Homes","https://www.makaan.com/vnr-homes-profile-1681897"
"73.75 L","1405","Under Construction","Possession by Sep 2021","New","3","https://www.makaan.com/chennai/ps-srijan-developers-chennai-nexterra-phase-2-in-sholinganallur-16095560/3bhk-1405-sqft-apartment","Sholinganallur","https://www.makaan.com/chennai-property/sholinganallur-flats-for-sale-50307","PS Srijan Developers","https://www.makaan.com/ps-srijan-developers-profile-2195372"
"4.55 Cr","2601","Under Construction","Possession by May 2023","New","4","https://www.makaan.com/chennai/lifestyle-housing-the-podium-in-t-nagar-16059347/4bhk-2601-sqft-apartment","T Nagar","https://www.makaan.com/chennai-property/t-nagar-flats-for-sale-51618","Lifestyle Housing","https://www.makaan.com/lifestyle-housing-profile-100348028"
"3.91 Cr","2475","Under Construction","Possession by Feb 2023","New","4","https://www.makaan.com/chennai/puravankara-limited-somerset-house-in-guindy-16175402/4bhk-2475-sqft-apartment","Guindy","https://www.makaan.com/chennai-property/guindy-flats-for-sale-51869","Puravankara Limited","https://www.makaan.com/puravankara-limited-profile-2006858"
"80.73 L","1242","Under Construction","Possession by Nov 2021","New","2","https://www.makaan.com/chennai/jones-foundations-blazia-in-madipakkam-16040052/2bhk-1242-sqft-apartment","Madipakkam","https://www.makaan.com/chennai-property/madipakkam-flats-for-sale-51142","Jones Foundations","https://www.makaan.com/jones-foundations-profile-2040617"
"31.96 L","969","Ready to move","0 - 1 year old","New","2","https://www.makaan.com/chennai/plaza-group-elite-acres-phase-i-in-perumbakkam-16087745/2bhk-969-sqft-apartment","Perumbakkam","https://www.makaan.com/chennai-property/perumbakkam-flats-for-sale-51151","Plaza Group","https://www.makaan.com/plaza-group-profile-100351934"
"81.3 L","937","Under Construction","Possession by Jun 2022","New","2","https://www.makaan.com/chennai/urbando-housing-orion-in-velachery-16191816/2bhk-937-sqft-apartment","Velachery","https://www.makaan.com/chennai-property/velachery-flats-for-sale-50306","Urbando Housing LLP","https://www.makaan.com/urbando-housing-llp-profile-100099343"
"72.05 L","1310","Under Construction","Possession by Nov 2021","New","3","https://www.makaan.com/chennai/ek-realtors-alpha-in-medavakkam-16308805/3bhk-1310-sqft-apartment","Medavakkam","https://www.makaan.com/chennai-property/medavakkam-flats-for-sale-50288","EK Realtors","https://www.makaan.com/ek-realtors-profile-100143142"
"91.36 L","1340","Ready to move","1 - 2 years old","Grfloor","3","https://www.makaan.com/chennai/the-nest-builders-adore-in-gowrivakkam-10061066/3bhk-1340-sqft-apartment","Gowrivakkam","https://www.makaan.com/chennai-property/gowrivakkam-flats-for-sale-51854","The Nest Builder","https://www.makaan.com/the-nest-builder-profile-1856022"
"50.76 L","1045","Ready to move","0 - 1 year old","2 Bathrooms","2","https://www.makaan.com/chennai/doshi-housing-first-nest-in-chromepet-16058685/2bhk-2t-1045-sqft-apartment","Chromepet","https://www.makaan.com/chennai-property/chromepet-flats-for-sale-50286","Doshi Housing","https://www.makaan.com/doshi-housing-profile-100054913"
"62.75 L","1004","Under Construction","Possession by May 2022","New","2","https://www.makaan.com/chennai/grand-style-constructions-wides-in-sholinganallur-16233792/2bhk-1004-sqft-apartment","Sholinganallur","https://www.makaan.com/chennai-property/sholinganallur-flats-for-sale-50307","Grandstyle constructions","https://www.makaan.com/grandstyle-constructions-profile-616881"
"57.5 L","920","Under Construction","Possession by Dec 2021","1 Bathrooms","2","https://www.makaan.com/chennai/vinoth-verona-in-ambattur-15980234/2bhk-1t-920-sqft-apartment","Ambattur","https://www.makaan.com/chennai-property/ambattur-flats-for-sale-51076","vinoth builders","https://www.makaan.com/vinoth-builders-profile-168384"
"50.22 L","1005","Ready to move","0 - 1 year old","New","2","https://www.makaan.com/chennai/gtk-foundation-sumeru-fairy-lands-in-thalambur-15985914/2bhk-1005-sqft-villa","Thalambur","https://www.makaan.com/chennai-property/thalambur-flats-for-sale-51677","GTK Foundations","https://www.makaan.com/gtk-foundations-profile-2031051"
"22.36 L","713","Under Construction","Possession by Dec 2025","New","2","https://www.makaan.com/chennai/baashyaam-constructions-le-chalet-smart-choice-homes-block-7-in-thandalam-9501338/2bhk-713-sqft-apartment","Thandalam","https://www.makaan.com/chennai-property/thandalam-flats-for-sale-140059-lcudn","Baashyaam Group","https://www.makaan.com/baashyaam-group-profile-1894199"
"19.8 L","900","Ready to move","0 - 1 year old","New","2","https://www.makaan.com/chennai/muktha-housing-our-eden-in-thirumazhisai-16015186/2bhk-900-sqft-villa","Thirumazhisai","https://www.makaan.com/chennai-property/thirumazhisai-flats-for-sale-51626","chris","https://www.makaan.com/chris-profile-100158584"
"84.13 L","1325","Under Construction","Possession by Nov 2022","New","2","https://www.makaan.com/chennai/krishna-constructions-chennai-celesta-in-medavakkam-16001188/2bhk-1325-sqft-apartment","Medavakkam","https://www.makaan.com/chennai-property/medavakkam-flats-for-sale-50288","Krishna Constructions","https://www.makaan.com/krishna-constructions-profile-100077789"
"58.43 L","1113","Under Construction","Possession by Dec 2021","New","2","https://www.makaan.com/chennai/aks-housing-sunridge-in-ayanambakkam-15891970/2bhk-1113-sqft-apartment","Ayanambakkam","https://www.makaan.com/chennai-property/ayanambakkam-flats-for-sale-51679","AKS Housing Dedvelopment Pvt Ltd","https://www.makaan.com/aks-housing-dedvelopment-pvt-ltd-profile-278442"
"3.3 Cr","3670","Ready to move","2 - 3 years old","New","3","https://www.makaan.com/chennai/mayances-construction-myans-luxury-villas-in-kanathur-reddikuppam-15978856/3bhk-3670-sqft-villa","Kanathur Reddikuppam","https://www.makaan.com/chennai-property/kanathur-reddikuppam-flats-for-sale-77126","Mayances Construction and Engineering Services","https://www.makaan.com/mayances-construction-and-engineering-services-profile-2160330"
"80.32 L","1208","Ready to move","3 - 4 years old","New","2","https://www.makaan.com/chennai/ramaniyam-real-estates-ocean-dew-in-madipakkam-15915585/2bhk-1208-sqft-apartment","Madipakkam","https://www.makaan.com/chennai-property/madipakkam-flats-for-sale-51142","Ramaniyam Real Estate Builders","https://www.makaan.com/ramaniyam-real-estate-builders-profile-100329791"
"2.9 Cr","1600","Under Construction","Possession by Jul 2020","New","3","https://www.makaan.com/chennai/india-builders-saras-sreenikethan-in-adyar-8944588/3bhk-1600-sqft-apartment","Adyar","https://www.makaan.com/chennai-property/adyar-flats-for-sale-51248","India Builders Limited","https://www.makaan.com/india-builders-limited-profile-1931003"
"40.02 L","870","Ready to move","2 - 3 years old","New","2","https://www.makaan.com/chennai/abhinitha-foundation-vikas-vibhav-in-kolapakkam-15804259/2bhk-870-sqft-apartment","Kolapakkam","https://www.makaan.com/chennai-property/kolapakkam-flats-for-sale-51232","Ram","https://www.makaan.com/ram-profile-100128564"
"42.07 L","1275","Under Construction","Possession by Nov 2022","New","3","https://www.makaan.com/chennai/shatapatri-estates-alta-in-thaiyur-15802695/3bhk-1275-sqft-apartment","Thaiyur","https://www.makaan.com/chennai-property/thaiyur-flats-for-sale-71344","Shatapatri Estates Pvt Ltd","https://www.makaan.com/shatapatri-estates-pvt-ltd-profile-100318959"
"48.61 L","884","Ready to move","0 - 1 year old","New","2","https://www.makaan.com/chennai/shri-raman-developers-ridgewood-condos-in-thoraipakkam-omr-15828872/2bhk-884-sqft-apartment","Thoraipakkam OMR","https://www.makaan.com/chennai-property/thoraipakkam-omr-flats-for-sale-51280","Shri Raman Developers","https://www.makaan.com/shri-raman-developers-profile-100321483"
"49.12 L","1092","Under Construction","Possession by Oct 2021","New","2","https://www.makaan.com/chennai/sri-hari-developers-madhav-in-poonamallee-16023043/2bhk-1092-sqft-apartment","Poonamallee","https://www.makaan.com/chennai-property/poonamallee-flats-for-sale-50300","Sri Hari Developers","https://www.makaan.com/sri-hari-developers-profile-752938"
"42.28 L","588","Under Construction","Possession by Nov 2021","1 Bathrooms","2","https://www.makaan.com/chennai/radiance-realty-developers-the-pride-in-pallavaram-16077182/2bhk-1t-588-sqft-apartment","Pallavaram","https://www.makaan.com/chennai-property/pallavaram-flats-for-sale-50349","Radiance Realty Developers","https://www.makaan.com/radiance-realty-developers-profile-103125"
"50.21 L","1152","Ready to move","0 - 1 year old","3 Bathrooms","2","https://www.makaan.com/chennai/pacifica-companies-pride-towers-in-padur-15747511/2bhk-3t-1152-sqft-apartment","Padur","https://www.makaan.com/chennai-property/padur-flats-for-sale-52316","Pacifica Companies","https://www.makaan.com/pacifica-companies-profile-100296895"
"40.75 L","910","Under Construction","Possession by Dec 2023","New","2","https://www.makaan.com/chennai/bscpl-infrastructure-bollineni-zion-in-perumbakkam-16332447/2bhk-910-sqft-apartment","Perumbakkam","https://www.makaan.com/chennai-property/perumbakkam-flats-for-sale-51151","BSCPL Infrastructure Ltd","https://www.makaan.com/bscpl-infrastructure-ltd-profile-1976848"
"2.61 Cr","1548","Ready to move","0 - 1 year old","New","3","https://www.makaan.com/chennai/khurinji-homes-angelica-in-adyar-16045764/3bhk-1548-sqft-apartment","Adyar","https://www.makaan.com/chennai-property/adyar-flats-for-sale-51248","Khurinji Homes","https://www.makaan.com/khurinji-homes-profile-100080280"
"47.04 L","920","Under Construction","Possession by Feb 2022","2 Bathrooms","2","https://www.makaan.com/chennai/saradeuz-realty-constructions-tulip-in-perumbakkam-15737297/2bhk-2t-920-sqft-apartment","Perumbakkam","https://www.makaan.com/chennai-property/perumbakkam-flats-for-sale-51151","Saradeuz Realty Constructions","https://www.makaan.com/saradeuz-realty-constructions-profile-100168500"
"45.79 L","669","Ready to move","0 - 1 year old","New","2","https://www.makaan.com/chennai/vgk-builders-aarunya-in-east-tambaram-15676422/2bhk-669-sqft-apartment","East Tambaram","https://www.makaan.com/chennai-property/east-tambaram-flats-for-sale-87066","VGK Builders Pvt Ltd","https://www.makaan.com/vgk-builders-pvt-ltd-profile-1894057"
"33.77 L","866","Under Construction","Possession by Nov 2021","New","2","https://www.makaan.com/chennai/amarprakash-developers-temple-waves-in-chromepet-15914741/2bhk-866-sqft-apartment","Chromepet","https://www.makaan.com/chennai-property/chromepet-flats-for-sale-50286","Amarprakash Developers Pvt Ltd","https://www.makaan.com/amarprakash-developers-pvt-ltd-profile-1918101"
"65.69 L","1381","Ready to move","1 year old","New","3","https://www.makaan.com/chennai/hansa-estate-gems-park-in-tiruvottiyur-15678176/3bhk-1381-sqft-apartment","Tiruvottiyur","https://www.makaan.com/chennai-property/tiruvottiyur-flats-for-sale-51579","Hansa Estates","https://www.makaan.com/hansa-estates-profile-1948165"
"1.18 Cr","1740","Ready to move","3 - 4 years old","New","3","https://www.makaan.com/chennai/prince-foundations-highlands-in-iyappanthangal-15605932/3bhk-1740-sqft-apartment","Iyappanthangal","https://www.makaan.com/chennai-property/iyappanthangal-flats-for-sale-51485","Prince Foundations Ltd","https://www.makaan.com/prince-foundations-ltd-profile-2122668"
"50.31 L","1450","Ready to move","0 - 1 year old","New","3","https://www.makaan.com/chennai/budget-housing-sai-garden-in-padappai-15261160/3bhk-1450-sqft-villa","Padappai","https://www.makaan.com/chennai-property/padappai-flats-for-sale-51223","Budget Housing And Properties","https://www.makaan.com/budget-housing-and-properties-profile-100181638"
"78.71 L","1212","Under Construction","Possession by Aug 2023","New","2","https://www.makaan.com/chennai/sp-homes-shyam-samundara-in-porur-13496528/2bhk-1212-sqft-apartment","Porur","https://www.makaan.com/chennai-property/porur-flats-for-sale-50346","SP Homes Pvt Ltd","https://www.makaan.com/sp-homes-pvt-ltd-profile-100173234"
"29.62 L","528","Ready to move","0 - 1 year old","New","2","https://www.makaan.com/chennai/bharathi-construction-sai-paradise-in-pammal-13585196/2bhk-528-sqft-apartment","Pammal","https://www.makaan.com/chennai-property/pammal-flats-for-sale-51831","Bharathi Construction","https://www.makaan.com/bharathi-construction-profile-2092923"
"88.27 L","1605","Under Construction","Possession by May 2022","New","3","https://www.makaan.com/chennai/karuppaswamy-builders-diamond-apartments-in-mugalivakkam-13734476/3bhk-1605-sqft-apartment","Mugalivakkam","https://www.makaan.com/chennai-property/mugalivakkam-flats-for-sale-50308","Karuppaswamy Builders","https://www.makaan.com/karuppaswamy-builders-profile-100199412"
"43.44 L","932","Under Construction","Possession by Nov 2020","2 Bathrooms","2","https://www.makaan.com/chennai/merlin-belani-developers-llp-eternia-in-pammal-9773554/2bhk-2t-932-sqft-apartment","Pammal","https://www.makaan.com/chennai-property/pammal-flats-for-sale-51831","Merlin Group","https://www.makaan.com/merlin-group-profile-1853790"
"33.05 L","1002","Ready to move","2 - 3 years old","New","2","https://www.makaan.com/chennai/advaita-homes-blossom-in-kelambakkam-15342668/2bhk-1002-sqft-apartment","Kelambakkam","https://www.makaan.com/chennai-property/kelambakkam-flats-for-sale-50403","Advaita Homes","https://www.makaan.com/advaita-homes-profile-2144742"
"29.56 L","768","Under Construction","Possession by Nov 2022","New","2","https://www.makaan.com/chennai/samprathy-developers-aura-in-thirumullaivoyal-15703772/2bhk-768-sqft-apartment","Thirumullaivoyal","https://www.makaan.com/chennai-property/thirumullaivoyal-flats-for-sale-50291","Swamaan Developers","https://www.makaan.com/swamaan-developers-profile-2191811"
"88.39 L","1637","Ready to move","0 - 1 year old","New","3","https://www.makaan.com/chennai/poojaa-foundation-diamond-anandam-in-poonamallee-15062410/3bhk-1637-sqft-apartment","Poonamallee","https://www.makaan.com/chennai-property/poonamallee-flats-for-sale-50300","Poojaa Foundation","https://www.makaan.com/poojaa-foundation-profile-108017"
"6.58 Cr","6103","Ready to move","4 - 5 years old","New","4","https://www.makaan.com/chennai/prestige-group-silver-springs-in-sholinganallur-11446447/4bhk-6103-sqft-villa","Sholinganallur","https://www.makaan.com/chennai-property/sholinganallur-flats-for-sale-50307","Prestige Estates Projects Ltd","https://www.makaan.com/prestige-estates-projects-ltd-profile-100009691"
"33.23 L","773","Ready to move","0 - 1 year old","New","2","https://www.makaan.com/chennai/mp-developers-hirwa-in-sembakkam-16336482/2bhk-773-sqft-apartment","Sembakkam","https://www.makaan.com/chennai-property/sembakkam-flats-for-sale-54826","MP Developers","https://www.makaan.com/mp-developers-profile-1894231"
"84.79 L","1220","Under Construction","3 Bathrooms","New","3","https://www.makaan.com/chennai/dac-promoters-intellia-in-selaiyur-16339722/3bhk-3t-1220-sqft-apartment","Selaiyur","https://www.makaan.com/chennai-property/selaiyur-flats-for-sale-52047","DAC Promoters","https://www.makaan.com/dac-promoters-profile-2004229"
"1.34 Cr","1974","Under Construction","Possession by Oct 2022","New","3","https://www.makaan.com/chennai/casa-grande-realtors-llp-millenia-in-mogappair-16350578/3bhk-1974-sqft-apartment","Mogappair","https://www.makaan.com/chennai-property/mogappair-flats-for-sale-50314","Casagrand Builder Private Limited","https://www.makaan.com/casagrand-builder-private-limited-profile-1917913"
"67 L","1195","Ready to move","2 - 3 years old","New","3","https://www.makaan.com/chennai/dugar-housing-builders-lake-dugar-in-ambattur-15887004/3bhk-1195-sqft-apartment","Ambattur","https://www.makaan.com/chennai-property/ambattur-flats-for-sale-51076","Dugar Housing Builders","https://www.makaan.com/dugar-housing-builders-profile-100285659"
"71.08 L","1021","Under Construction","Possession by Nov 2021","1 Bathrooms","2","https://www.makaan.com/chennai/radiance-realty-developers-the-pride-in-pallavaram-16326688/2bhk-1t-1021-sqft-apartment","Pallavaram","https://www.makaan.com/chennai-property/pallavaram-flats-for-sale-50349","Radiance Realty Developers India Ltd","https://www.makaan.com/radiance-realty-developers-india-ltd-profile-1931016"
"1.88 Cr","2221","Under Construction","Possession by May 2022","3 Bathrooms","3","https://www.makaan.com/chennai/traventure-homes-triad-in-virugambakkam-16303597/3bhk-3t-2221-sqft-apartment","Virugambakkam","https://www.makaan.com/chennai-property/virugambakkam-flats-for-sale-51300","Traventure Homes Pvt Ltd","https://www.makaan.com/traventure-homes-pvt-ltd-profile-100103446"
"31 L","730","Under Construction","Possession by Mar 2024","New","2","https://www.makaan.com/chennai/urbanrise-projects-code-name-new-porur-in-thirumazhisai-16326118/2bhk-730-sqft-apartment","Thirumazhisai","https://www.makaan.com/chennai-property/thirumazhisai-flats-for-sale-51626","Urbanrise","https://www.makaan.com/urbanrise-profile-2114671"
"83.03 L","1101","Ready to move","5 - 6 years old","New","3","https://www.makaan.com/chennai/navins-housing-whiteberry-in-moolakadai-16272621/3bhk-1101-sqft-apartment","Moolakadai","https://www.makaan.com/chennai-property/moolakadai-flats-for-sale-52066","Navin Housing Properties P LTD","https://www.makaan.com/navin-housing-properties-p-ltd-profile-2091480"
"1.46 Cr","2669","Ready to move","0 - 1 year old","New","4","https://www.makaan.com/chennai/jones-foundations-cassia-phase-3-in-ottiyambakkam-16321207/4bhk-2669-sqft-villa","Ottiyambakkam","https://www.makaan.com/chennai-property/ottiyambakkam-flats-for-sale-75983","Jones foundation private limited","https://www.makaan.com/jones-foundation-private-limited-profile-1423363"
"20.14 L","510","Under Construction","Possession by Mar 2022","New","1","https://www.makaan.com/chennai/isha-homes-anandham-in-perungalathur-16292542/1bhk-510-sqft-apartment","Perungalathur","https://www.makaan.com/chennai-property/perungalathur-flats-for-sale-51578","Isha Homes","https://www.makaan.com/isha-homes-profile-1866557"
"76.2 L","1480","Under Construction","Possession by Mar 2022","New","3","https://www.makaan.com/chennai/kochar-homes-neetu-arjun-garden-in-gerugambakkam-16293771/3bhk-1480-sqft-apartment","Gerugambakkam","https://www.makaan.com/chennai-property/gerugambakkam-flats-for-sale-55747","Kochar Homes Pvt Ltd","https://www.makaan.com/kochar-homes-pvt-ltd-profile-100376145"
"2.4 Cr","1500","Under Construction","Possession by Jul 2022","New","3","https://www.makaan.com/chennai/pushkar-properties-mullai-residences-in-anna-nagar-16154835/3bhk-1500-sqft-apartment","Anna Nagar","https://www.makaan.com/chennai-property/anna-nagar-flats-for-sale-50379","Pushkar Properties Pvt Ltd","https://www.makaan.com/pushkar-properties-pvt-ltd-profile-2012602"
"51.46 L","919","Under Construction","Possession by Mar 2022","New","2","https://www.makaan.com/chennai/asset-tree-homes-ath-cosmo-in-pammal-16233460/2bhk-919-sqft-apartment","Pammal","https://www.makaan.com/chennai-property/pammal-flats-for-sale-51831","Asset Tree Homes","https://www.makaan.com/asset-tree-homes-profile-1731056"
"66.44 L","923","Under Construction","Possession by Nov 2023","2 Bathrooms","2","https://www.makaan.com/chennai/urban-tree-infrastructures-amaze-in-porur-16262026/2bhk-2t-923-sqft-apartment","Porur","https://www.makaan.com/chennai-property/porur-flats-for-sale-50346","Urban Tree Infrastructures","https://www.makaan.com/urban-tree-infrastructures-profile-1931007"
"1.12 Cr","2323","Ready to move","4 - 5 years old","New","4","https://www.makaan.com/chennai/olympia-group-opaline-sequel-in-navallur-16142371/4bhk-2323-sqft-apartment","Navallur","https://www.makaan.com/chennai-property/navallur-flats-for-sale-50352","Olympia Group","https://www.makaan.com/olympia-group-profile-100084988"
"29 L","544","Under Construction","Possession by Nov 2023","New","1","https://www.makaan.com/chennai/vijay-raja-homes-vrx-360-in-thirumazhisai-16125584/1bhk-544-sqft-apartment","Thirumazhisai","https://www.makaan.com/chennai-property/thirumazhisai-flats-for-sale-51626","Vijay Raja Homes Private Limited","https://www.makaan.com/vijay-raja-homes-private-limited-profile-100145026"
"1.58 Cr","1025","Under Construction","Possession by Dec 2021","New","2","https://www.makaan.com/chennai/kamalam-builders-vilasam-in-anna-nagar-16216048/2bhk-1025-sqft-apartment","Anna Nagar","https://www.makaan.com/chennai-property/anna-nagar-flats-for-sale-50379","Kamalam Builder Pvt Ltd","https://www.makaan.com/kamalam-builder-pvt-ltd-profile-100101692"
"1.08 Cr","1972","Ready to move","1 year old","New","3","https://www.makaan.com/chennai/appaswamy-real-estates-splendour-in-sholinganallur-16252543/3bhk-1972-sqft-apartment","Sholinganallur","https://www.makaan.com/chennai-property/sholinganallur-flats-for-sale-50307","Appaswamy Real Estate","https://www.makaan.com/appaswamy-real-estate-profile-1917897"
"45.99 L","920","Under Construction","Possession by Dec 2022","New","2","https://www.makaan.com/chennai/vnr-homes-belmont-in-vanagaram-16087701/2bhk-920-sqft-apartment","Vanagaram","https://www.makaan.com/chennai-property/vanagaram-flats-for-sale-52061","VNR Homes","https://www.makaan.com/vnr-homes-profile-1681897"
"73.99 L","1410","Under Construction","Possession by Sep 2021","New","3","https://www.makaan.com/chennai/ps-srijan-developers-chennai-nexterra-phase-2-in-sholinganallur-16095559/3bhk-1410-sqft-apartment","Sholinganallur","https://www.makaan.com/chennai-property/sholinganallur-flats-for-sale-50307","PS Srijan Developers","https://www.makaan.com/ps-srijan-developers-profile-2195372"
"6.44 Cr","3681","Under Construction","Possession by May 2023","4 Bathrooms","4","https://www.makaan.com/chennai/lifestyle-housing-the-podium-in-t-nagar-16059346/4bhk-4t-3681-sqft-apartment","T Nagar","https://www.makaan.com/chennai-property/t-nagar-flats-for-sale-51618","Lifestyle Housing","https://www.makaan.com/lifestyle-housing-profile-100348028"
